              ACCEPT PB|Control-G?|            TEMPERATURE|                DENSITY|ACTUAL#MARKOV|                 BEST y|                 CURR y|                 BEST x|                 CURR x|                BEST x2|                CURR x2|                BEST x3|                CURR x3|
                    0.0|       1.0|               1.5E-323|    9.90384773798203E-4|           30|     0.5095453126111467|     0.5099802258627235|    -0.7107761148803511|    -0.5993023829666435|    -0.8071731012305103|   -0.48531060368649226|    -0.5318635329534112|    -0.5204356958965441|
                    0.0|       0.0|               1.5E-323|   9.998808618942867E-4|           30|     0.5093106316957632|     0.5097398416960464|    -0.8132529191778015|    -1.0122183453735953|    -0.6487266105734009|     -0.704575071365237|    -0.9677683771000478|    -0.8185075335881302|
                    0.0|       1.0|               1.0E-323|   9.959773745091827E-4|           30|     0.5094661935927283|     0.5103173288479699|     -1.076012506987835|    -1.0480068152963133|    -0.8774510633737853|    -0.9249313300477155|    -0.5880800343204362|    -0.7919292443835821|
                    0.0|       0.0|               2.5E-323|   9.874178504789555E-4|           30|     0.5093886447476972|     0.5097338766161745|    -0.7726232344332635|    -1.0659276952466616|    -0.5171183727076569|    -0.6494794469817338|     -0.906288065727161|    -0.8950372589258941|
                    0.0|       0.0|               1.5E-323|   9.280756821936631E-4|           30|     0.5093825747565961|     0.5098505140275424|    -0.8387332014722078|    -0.6394983460093866|    -0.7716567450606864|    -0.8127634103801886|    -1.0660935313268887|    -0.9816878919917897|
                    0.0|       0.0|               1.0E-323|   9.769756619988357E-4|           30|     0.5092873859186247|     0.5099919930602206|    -1.0598041749009943|     -0.930753076104732|    -0.9429517157889205|     -0.559750410722893|    -0.7535527703281837|    -0.9143673213447336|
                    0.0|       0.0|               1.5E-323|    9.95534990549718E-4|           30|      0.509256075873068|      0.509601817253482|    -0.7064990231122619|    -0.6055517952795402|    -1.0364773189105472|    -1.0791696265597135|    -0.5226436851984948|    -0.5952434498799177|
                    0.0|       0.0|               1.5E-323|   9.259510557069195E-4|           30|     0.5092780976879898|     0.5099291801336667|     -0.689779203184625|    -0.5503448797275827|     -1.048128533099077|    -0.9714966264702312|    -0.5412473795852333|    -0.5567701003897683|
                    0.0|       1.0|               2.0E-323|    9.98175914633137E-4|           30|     0.5092820278103414|      0.510071792899168|    -0.5180426226987387|    -0.6573184718614862|    -0.4881393950474522|   -0.47993449740432204|    -0.7231492661253809|    -0.8836572433906758|
                    0.0|       0.0|               1.0E-323|   9.346221487922524E-4|           30|     0.5092097732733449|      0.509411345060907|    -0.6729258033226881|      -0.88466637229958|    -1.0296386651436231|     -0.693136639679844|    -0.5931803336810362|    -0.7503810058763525|
                    0.0|       0.0|               1.5E-323|    9.96322566236607E-4|           30|     0.5094307098467243|     0.5102639094389294|    -0.9330318330303542|    -0.7218851375719153|    -0.6692916458719846|    -1.0601822204393136|    -0.7518368228475445|   -0.49353944063846455|
                    1.0|       1.0|               1.0E-323|   9.551466111930029E-4|           30|     0.5094759927022161|     0.5103622804195485|    -1.0577659186432093|    -0.8052417596633801|    -0.5085840981751195|      -0.81510508317991|    -0.6142600325704328|    -0.8250933811557521|
                    0.0|       0.0|               1.0E-323|   9.219596622460635E-4|           30|     0.5092994398767563|     0.5098492396882319|    -1.0361714821779564|    -0.9158129672486219|    -0.8098687134231846|     -0.890015108654163|    -0.9929935751507648|    -0.5735910824711341|
                    0.0|       0.0|               2.0E-323|   9.784152855041306E-4|           30|     0.5094662043345892|     0.5097160496635205|     -0.810250165282697|    -0.6905848099434511|    -0.8912010275967739|    -0.8060651661971716|    -0.9096070738029438|    -0.9293565891692035|
                    0.0|       1.0|               1.0E-323|   9.610790924334811E-4|           30|       0.50934489078745|     0.5097362990962979|     -0.599735437710906|    -0.7395752523524639|    -0.8457922601057237|    -0.8787767425195141|    -0.5756048162383574|    -0.6278794980694948|
                    0.0|       0.0|               2.0E-323|   9.287934654442775E-4|           30|     0.5094927270887679|     0.5095883650634774|    -0.9200797773128617|    -0.9088446030643884|    -0.9734714586586402|    -0.8246720680872817|    -0.5806812302275428|    -0.7283229278396504|
                    0.0|       0.0|               2.0E-323|    9.47901980979271E-4|           30|     0.5092474480526374|     0.5094559137418784|    -0.9831260277766577|    -0.9847695306843047|    -0.6470572259353262|     -0.852816408655787|    -0.5669314675003339|    -0.6919595279042126|
